sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Jacquette Oakley,Department C,$61.21,62,819 Arkansas Pass,Midland,Michigan,00211a03383b447ec9cf34064d838d0b,2/7/2016
Ignacio Arpur,Department A,$11.34,11,3457 Clyde Gallagher Plaza,New York City,New York,d6f94695da474de768051815f89f1e69,5/9/2017
Zebedee Kedge,Department A,$39.92,49,137 Bluestem Avenue,Kansas City,Missouri,157a3456994bab95a7b395ad28cdb76e,11/18/2016
Modesty Berringer,Department D,$58.40,74,0 Golf Court,San Diego,California,2da81cda9e51d4d0d38b8df72e97de63,2/20/2016
Ignacio Arpur,Department A,$56.48,82,3897 Ramsey Alley,Shawnee Mission,Kansas,fe63ac5ee14646678425ec758bb505d9,3/1/2016
Shane Simkins,Department B,$32.20,25,93019 Sutteridge Point,Birmingham,Alabama,27f45929385985d015a2864a51fe7715,11/15/2016
Zebedee Kedge,Department A,$41.96,72,6 Pennsylvania Drive,New Orleans,Louisiana,edb7ab5115e5e6682142573dce2e3b55,3/29/2017
Zaneta Delmage,Department B,$88.84,92,63 Memorial Lane,Corpus Christi,Texas,1f41d033a0595b62c4c1236d98101a0e,8/1/2017
Gothart Whimpenny,Department C,$37.39,82,6 Debra Trail,Virginia Beach,Virginia,752c894e740b78c4d683fdc69e09f9e4,1/12/2017
Zebedee Kedge,Department A,$65.26,80,831 Charing Cross Plaza,Albany,New York,365d83e844eada63f745590b97264277,9/16/2016
Atlante Harower,Department D,$22.77,43,295 Bunting Court,Stockton,California,ae85ac8eb4ee15eee34fc759f23d72c6,3/11/2016
Ignacio Arpur,Department A,$7.76,41,97 Kennedy Lane,Gaithersburg,Maryland,2d5c1592b1ac8b8a59fb91619330ae6e,1/5/2016
Bartholemy Kment,Department B,$64.22,31,81 Declaration Street,Minneapolis,Minnesota,a259bc0dec97f595da6789a564ccbfca,4/24/2016
,,,90,67983 Di Loreto Crossing,Aurora,Colorado,3c9aaaf7409fa3c7beb8989fa784c1d1,6/3/2017
Modesty Berringer,Department D,$88.23,70,73347 Spaight Center,Pompano Beach,Florida,3115bd052d432fc8c8f2d1c99881fb81,10/4/2016
Chad Yeatman,Department A,$59.46,62,62 Reindahl Place,Boise,Idaho,5f66a96bf8fc917dec225b78d568ee35,6/28/2017
Bartholemy Kment,Department B,$75.58,18,1 Stephen Trail,Evansville,Indiana,161ffdab629c67beccdd047132d7cf33,3/17/2016
Bartholemy Kment,Department B,$55.79,73,8712 Union Road,Louisville,Kentucky,c27370cb2c5a29e1c4e8a5748bb258d2,11/12/2016
Dallas Le,Department B,$37.27,1,86204 New Castle Plaza,Bronx,New York,b656b83d683ca22cd219bba6975037ea,3/5/2016
Zaneta Delmage,Department B,$40.73,33,58221 Larry Terrace,Odessa,Texas,e8e04439bac46bc0198b0be55f0bb28c,6/20/2016
Brear Fairs,Department D,$76.24,61,3 Gale Junction,Spokane,Washington,d8eca8aa46e139e7a7fd8d34a18d2ce6,9/15/2016
Linn Becerra,Department B,$88.77,17,6927 Colorado Place,Charlotte,North Carolina,da0fc1e6eda390626702987edb5a97f9,3/17/2016
Zaneta Delmage,Department B,$35.61,11,601 Elgar Alley,San Bernardino,California,19555ec8df534421fd3224ad5b4a5c2c,8/25/2017
Gothart Whimpenny,Department C,$63.25,79,39 Rigney Avenue,Des Moines,Iowa,c50477e34b5bff8d95589bb31eee5fb4,10/15/2016
Nell Lindup,Department C,$98.82,68,2975 Roxbury Parkway,Inglewood,California,71c12af625fbda70c7449488d5bc2dd2,4/8/2016
Zaneta Delmage,Department B,$44.76,31,48 Kipling Alley,Philadelphia,Pennsylvania,5ebc4adee2c07abd0afca88dfb150c11,6/24/2016
Powell Amorts,Department B,$97.51,64,06 Brickson Park Plaza,Miami,Florida,f3631fa68f9427e1755f9b76fbe6c350,7/3/2016
Ignacio Arpur,Department A,$38.18,52,6 Shopko Pass,Salt Lake City,Utah,f2c0563c0e1c67385c698267e7c7096a,4/6/2016
Bartholemy Kment,Department B,$54.72,81,6497 Glendale Way,Denton,Texas,d70f17b72d1bfc5319feca1c7957165d,1/31/2016
Modesty Berringer,Department D,$14.72,20,7252 Saint Paul Circle,Washington,District of Columbia,899a6a1efeb71ce0c4b30077b7c39eeb,2/19/2017
Dallas Le,Department B,$7.14,37,9 Old Gate Road,Mobile,Alabama,28043d08d1c4e675b25842fe02e65ca8,2/12/2017
Celestyna Erskine,Department C,$98.79,35,8 Hansons Circle,New York City,New York,f1ae0e282cc9664b9c26ead9ab465ec6,4/16/2017
,,,78,441 Westend Lane,Beaumont,Texas,1f29b18e2eedc6b96a42c9ce77e5041d,9/7/2016
Zebedee Kedge,Department A,$13.25,12,522 Eastwood Junction,Peoria,Arizona,ab6fe541fe922751a8b10e9ac7ea8fc6,7/27/2016
Chad Yeatman,Department A,$25.97,81,429 Morrow Pass,Savannah,Georgia,e96a6bb92a64d316e343d73d836d852a,10/7/2016
Powell Amorts,Department B,$22.42,7,2 Sugar Trail,Colorado Springs,Colorado,c12ab2e94e7a11f65aa7fd148f38902e,1/27/2017
Gothart Whimpenny,Department C,$34.67,48,2803 Sunfield Alley,Boise,Idaho,ac13ba7622121ac39da38f78d54a8f26,11/21/2016
Dallas Le,Department B,$26.33,70,98095 Bultman Drive,New Hyde Park,New York,8839af3227a2874bb67c947c3a6d228d,8/15/2017
Zebedee Kedge,Department A,$48.60,29,70 Fair Oaks Point,San Bernardino,California,4f817a68e2d49b26a53800fba1e390f4,5/2/2016
Dallas Le,Department B,$6.53,15,5 Judy Road,Knoxville,Tennessee,3389c6a7ff9f266a84d6fd2a80c5125b,10/11/2016
Zebedee Kedge,Department A,$95.49,76,9998 Boyd Park,Sacramento,California,e031cb20dfd4ab711962ada3e587d3a2,4/2/2016
Powell Amorts,Department B,$72.47,90,5380 Sundown Place,Berkeley,California,d8daac29709d6fc8a93e0f47001e7f67,6/28/2016
Dallas Le,Department B,$95.09,30,62301 Wayridge Way,Durham,North Carolina,a6c1e6ff582e2c1a8c80bf7daff8f09e,8/13/2016
Linn Becerra,Department B,$15.11,57,37304 Lunder Avenue,Birmingham,Alabama,3bab8a209b8ea8462c3a42f4948658f0,3/26/2016
Atlante Harower,Department D,$28.06,96,3125 Cody Center,Baltimore,Maryland,9c7c26f4b5aacfddbd84fa33919ffd44,7/6/2016
Rutherford Kermath,Department D,$95.29,63,3 School Lane,Fargo,North Dakota,80eb772e2667602271b227aef97f0a53,2/20/2017
Dallas Le,Department B,$66.53,17,02435 Sloan Pass,Atlanta,Georgia,11b53c876c3ff978598dd4cf17a0416f,2/19/2016
Krystle Boothe,Department D,$53.63,50,6 Scott Center,Saint Louis,Missouri,0bb1042fa874f778ca570825efa9d8d2,12/9/2016
Shane Simkins,Department B,$36.79,61,801 Sloan Terrace,Atlanta,Georgia,012a7e724634d12556c36017bd9346a7,9/2/2016
Powell Amorts,Department B,$71.82,26,65 Kings Court,Decatur,Illinois,2239ab3590d20385e059e6b4ae2b3cd2,7/31/2016
Brear Fairs,Department D,$71.49,10,91313 Victoria Trail,Laredo,Texas,742e27e62db3e78a0f041ca766b8ef72,1/4/2017
Atlante Harower,Department D,$48.59,71,11998 Eastwood Circle,Provo,Utah,03420d9e8b43857f42d63f0e94b8333c,5/22/2016
Ashleigh Baudinot,Department D,$44.08,2,467 Nevada Lane,Corpus Christi,Texas,8cfdf62a99c8d89e1ebe4e51fa6d73e2,3/18/2016
Shena Reeson,Department B,$86.79,3,525 Myrtle Avenue,Tampa,Florida,b9d22268f03de98653e42bac35de10d9,5/8/2017
Ignacio Arpur,Department A,$80.59,75,89711 Elgar Park,Fort Lauderdale,Florida,c444c3c0e10a7a966bdf76d940a6bde6,6/23/2017
Brear Fairs,Department D,$69.87,7,715 Russell Alley,Phoenix,Arizona,f192b8a4ba4ffbc1a9430b55e251cf2f,4/24/2017
Bartholemy Kment,Department B,$34.89,77,03886 Fair Oaks Drive,Des Moines,Iowa,f7ebbaac3ed07dc662df4cc49f590771,1/26/2016
Jacquette Oakley,Department C,$95.89,44,64 Brown Plaza,Littleton,Colorado,c3ac3d6166526ef769504a33cd8fab1b,4/17/2017
Jacquette Oakley,Department C,$41.22,94,88 Knutson Place,Shreveport,Louisiana,6f03aa18b03938292f9c1a825a4f5086,1/22/2017
Brear Fairs,Department D,$95.34,47,4682 Lotheville Street,Austin,Texas,9fb98faa5023941e8c03a7c3713c972f,10/4/2016
Brear Fairs,Department D,$85.33,68,0 Sheridan Street,Los Angeles,California,ec187f5c044075dcc593d079ada00851,5/7/2016
Shena Reeson,Department B,$9.42,1,3079 Dunning Center,Hagerstown,Maryland,8e49d98bcedaadcb2eda176575465cba,7/21/2017
Jacquette Oakley,Department C,$55.44,1,391 Leroy Way,El Paso,Texas,437f5c0f566e968b93e90b999610637c,8/10/2017
Gothart Whimpenny,Department C,$53.97,76,053 Grasskamp Point,Little Rock,Arkansas,aaf8e3984e430a15cd9890995ccba6ca,10/2/2016
Celestyna Erskine,Department C,$29.25,94,53986 South Road,New York City,New York,1ea7b40ee5830981bb4fa19411313841,5/5/2017
Chad Yeatman,Department A,$94.91,96,6028 Homewood Road,Atlanta,Georgia,b418a01756b00013c43facf126fc487c,8/2/2017
Celestyna Erskine,Department C,$7.81,37,4 Merry Court,Fairfield,Connecticut,08b436c6865b6c05e73887025a35ce83,6/23/2017
Linn Becerra,Department B,$84.62,89,76 Hudson Center,Memphis,Tennessee,7535ee176525e357296fdb06f6c2c590,5/13/2017
Atlante Harower,Department D,$16.90,54,37 Main Pass,Rochester,New York,28ffc85abf29d03ecc850be9ddb61f0e,6/21/2016
Shena Reeson,Department B,$64.67,33,805 Warrior Circle,Buffalo,New York,e6eff8ecb8873ec2b06a19acc6b3448b,8/6/2016
Dallas Le,Department B,$4.05,82,435 Mockingbird Plaza,Cincinnati,Ohio,22352cb1191fde514acc876821a9508d,1/7/2017
,,,44,5201 Messerschmidt Pass,Miami,Florida,ba96ed3078f125ea6331dc00a6bb2540,7/22/2017
Shena Reeson,Department B,$77.15,10,31 Springs Trail,Lafayette,Louisiana,1d65fffc98eaa0ddebdb83a4db9c1ea6,11/16/2016
Nell Lindup,Department C,$19.19,66,5 Calypso Alley,Brooksville,Florida,e50fe552de2f44c7746db7e5920511b6,5/3/2016
Modesty Berringer,Department D,$47.01,72,26 Briar Crest Trail,Hicksville,New York,806f158b483ed4474881f26c1e4ffa92,2/12/2017
Chad Yeatman,Department A,$82.61,23,95 Raven Road,London,Kentucky,2529b1e8dd061b510980eaf4766dfda2,8/14/2017
Brear Fairs,Department D,$93.28,42,31431 Knutson Terrace,Phoenix,Arizona,6b04aa42f7aea72269084688f9e3df79,8/30/2016
Celestyna Erskine,Department C,$28.82,76,8999 Shoshone Junction,San Diego,California,3b45f400984e5aff615d2e666b1eef78,5/10/2016
Dallas Le,Department B,$61.37,24,1 Boyd Crossing,Columbia,South Carolina,90312501bd1c1471e9cc3597838b3cc4,8/21/2017
Bartholemy Kment,Department B,$26.91,62,3872 Springview Way,Juneau,Alaska,28d6dd516b217979e1a42a1705fa120c,5/7/2017
Ashleigh Baudinot,Department D,$5.74,60,78198 Grasskamp Center,Dallas,Texas,1b8317537d911d33e6ea6a98e0bce7cd,11/25/2016
Zebedee Kedge,Department A,$74.47,30,7189 Algoma Crossing,Bismarck,North Dakota,e371132e5b9cc890c62fbfb2c023fbc4,5/7/2016
Dallas Le,Department B,$14.99,20,8 Coleman Center,San Francisco,California,fcbffb43ca7c184cb8311d8c20e7c831,3/14/2016
Shane Simkins,Department B,$7.67,76,431 Chinook Park,New Haven,Connecticut,56deb2b28b666e4f56546447cd26fc53,8/25/2017
Dallas Le,Department B,$52.69,23,06 Carberry Hill,Dallas,Texas,f3f99cc9ea56e032fa3f017a377da7db,3/17/2016
Ignacio Arpur,Department A,$18.49,66,2930 Dayton Drive,Colorado Springs,Colorado,61852bc3552a49d659d3be5a02024376,3/25/2017
Shena Reeson,Department B,$40.78,56,14 Shopko Point,San Francisco,California,4327bdc83f5103a3e820ffc6fd15cd03,3/17/2016
Bartholemy Kment,Department B,$59.37,17,5005 Pleasure Circle,Albany,New York,cbbbb0bb955d7b9e0fba65afdf538474,12/22/2016
Powell Amorts,Department B,$65.78,79,1 Barnett Road,Harrisburg,Pennsylvania,24083b2c981816aa834269b3fc18f334,5/1/2016
Brear Fairs,Department D,$62.32,19,786 Everett Way,Washington,District of Columbia,abea9d68c6df98ab61a83c24d8b2a1da,8/6/2016
Ortensia Le,Department C,$18.50,30,3 Meadow Ridge Avenue,Indianapolis,Indiana,36d317e31ae034f6fe45ceb98f0057db,4/25/2016
Zaneta Delmage,Department B,$96.74,72,73 Bluejay Plaza,Long Beach,California,faff7db5974f4c10e9e23a1f7347c7d0,3/30/2016
Celestyna Erskine,Department C,$39.50,56,698 Fisk Junction,Newton,Massachusetts,983b1dc5dbddbde4193410ea9bff3c70,8/14/2017
Rutherford Kermath,Department D,$44.91,17,5781 Shasta Trail,Pittsburgh,Pennsylvania,812b6dedd2e4bd9142a2173bafa5c75e,1/22/2016
Ignacio Arpur,Department A,$71.09,17,96 Pierstorff Trail,Pensacola,Florida,09182839bd9440c92b56dc1f7fc6e7e4,6/10/2017
Modesty Berringer,Department D,$19.05,58,07 Dahle Point,Fort Lauderdale,Florida,0c805e448c108044512059330674ca5b,1/23/2017
Ashleigh Baudinot,Department D,$35.10,8,2 Sachs Road,Memphis,Tennessee,12acaabe9562253fac812bb9304c1432,1/17/2017
Dallas Le,Department B,$59.35,77,9 Becker Pass,Honolulu,Hawaii,2452d93d4ab3d2367d836657ae497634,11/3/2016
Bartholemy Kment,Department B,$23.69,40,54 Clove Point,Cincinnati,Ohio,20804449f50ac72c777d2aae9a2d453c,3/25/2016
Dallas Le,Department B,$44.85,53,8 Meadow Vale Park,Las Vegas,Nevada,a7a46ba6a344a127bb6d9a86b1f592e8,4/5/2017
Rutherford Kermath,Department D,$62.11,13,05886 Kinsman Junction,New Haven,Connecticut,f51eaa1bf114f859b530bcf633a94776,11/13/2016
Celestyna Erskine,Department C,$35.96,88,8731 3rd Road,Flint,Michigan,24ad3095ba3de016a21c7f3cf47912bf,3/28/2017
Shane Simkins,Department B,$90.30,7,97 Autumn Leaf Place,El Paso,Texas,814f65be0492d72c8cbbd686eb683604,7/6/2016
Ortensia Le,Department C,$89.85,69,18 Kings Court,Santa Fe,New Mexico,a81153a4c3ca34afe29e926daca7ac81,12/15/2016
Dallas Le,Department B,$22.39,7,58 Charing Cross Crossing,Washington,District of Columbia,f433c50601238a3ed3d267bb74f077df,1/11/2016
Ortensia Le,Department C,$85.53,55,0 Almo Drive,Orlando,Florida,53597064507a59779d7170027dadfe80,7/12/2017
Nell Lindup,Department C,$87.19,10,1 Glacier Hill Parkway,Carol Stream,Illinois,08a722353d7460e58cfca480a77e7a8e,12/6/2016
Shane Simkins,Department B,$31.61,22,02045 Victoria Center,Texarkana,Texas,d4668c0e91692970d1ef8240fcec78d7,6/25/2016
Dallas Le,Department B,$93.42,24,04 Esch Parkway,Hartford,Connecticut,90e998aea5945b4715fab490bd0df3e9,5/25/2016
Zaneta Delmage,Department B,$94.44,4,4811 Logan Park,New Orleans,Louisiana,7df3726568387c09488310fb7938195e,7/16/2017
Jacquette Oakley,Department C,$64.85,27,645 Oneill Junction,Fort Lauderdale,Florida,9e226ad81cbb27c71532132b80510c45,8/20/2017
Shane Simkins,Department B,$98.56,29,3758 Spaight Point,Long Beach,California,0971b8305f635bd443f96c115b7a2b49,10/22/2016
Shane Simkins,Department B,$41.88,7,301 Knutson Plaza,Homestead,Florida,88d96bf9b8036e67c48ef6cd4b604753,4/28/2016
Zaneta Delmage,Department B,$5.50,32,64005 Green Center,Pensacola,Florida,768e5fcc5e7d14c3784efcd247390917,12/2/2016
Dallas Le,Department B,$61.21,83,7221 Jenna Lane,Rochester,New York,2bebc461bda12fa4ec7a63444e852dfd,3/26/2016
Atlante Harower,Department D,$10.83,65,01 Roth Lane,Baltimore,Maryland,95486ef527f1ce78f3dd8b702dca4f3d,12/27/2016
Ignacio Arpur,Department A,$39.71,33,49769 Carioca Crossing,Saint Louis,Missouri,6a86da6d7ee8847de92223683ddd577a,3/25/2016
Shena Reeson,Department B,$33.76,79,6073 Acker Junction,Kansas City,Missouri,46bf3ce9ea00c9c978d8653acf240f38,8/21/2016
Rutherford Kermath,Department D,$0.29,59,683 Mallard Trail,Springfield,Illinois,a284e3e9900f788732519c84b86287b0,3/25/2017
Atlante Harower,Department D,$61.35,79,444 Cherokee Pass,Atlanta,Georgia,c11d05b471c1cbf2e396f0a93e3e314c,7/6/2017
Powell Amorts,Department B,$23.72,7,74799 Armistice Hill,Chandler,Arizona,c100daad2cf227bed883a448c688f9d0,7/2/2017
Shena Reeson,Department B,$94.96,32,27 Melody Alley,Fort Lauderdale,Florida,da3ce667ac6e8238c19b8aede510418f,8/27/2017
Atlante Harower,Department D,$51.14,77,0 Tomscot Trail,Honolulu,Hawaii,f7005671a792730de4e88b99749d8501,11/25/2016
Shena Reeson,Department B,$99.45,69,2162 Merrick Road,Dayton,Ohio,cc77b7687709d9b82ef68b043753d303,9/16/2016
Ignacio Arpur,Department A,$13.09,46,61 Ridgeway Park,Memphis,Tennessee,94f2900d11515064d4bb43b140cf81fb,10/20/2016
Krystle Boothe,Department D,$19.24,13,3039 Amoth Hill,Scottsdale,Arizona,3bb3433489f6f4f07013d993f8a369db,2/13/2017
Linn Becerra,Department B,$8.84,99,2971 Thompson Pass,Macon,Georgia,9366fe7dfcb49c3dd2bfdbf067829126,7/3/2017
Ashleigh Baudinot,Department D,$14.69,36,2 Helena Street,Little Rock,Arkansas,c405fe90747055886a9a6318074ce2e1,11/24/2016
Dallas Le,Department B,$66.19,12,4 Becker Drive,Las Vegas,Nevada,3a97afea9fe9faaa7e34f7b246929873,4/2/2017
Shena Reeson,Department B,$37.00,86,36 Jackson Crossing,Flint,Michigan,834ea15c7abe8f2b0bd02865d7d0f4b2,8/21/2017
Krystle Boothe,Department D,$12.24,25,5 Hanover Circle,Charlotte,North Carolina,24c6d0fa2959ed751c5df3e7c18dc83d,4/25/2017
Jacquette Oakley,Department C,$5.36,76,844 Fairfield Street,Houston,Texas,dcb0083fed6fa4551d02d385e1751f3d,6/20/2016
Gothart Whimpenny,Department C,$72.96,97,584 Bluestem Parkway,Lake Worth,Florida,b252372a389cdde755a99bb4114319a8,6/3/2017
Atlante Harower,Department D,$66.20,82,6 Melrose Court,Lansing,Michigan,80728f461e9c02619e10fe8a71af795f,5/8/2017
Modesty Berringer,Department D,$29.52,97,3 Hazelcrest Circle,Tucson,Arizona,8e5fdb0a204d7abbedc81549a2b414f7,11/12/2016
Shane Simkins,Department B,$44.83,78,719 Russell Hill,Springfield,Massachusetts,bcbc0c58d77dbd4162357d06052e91ee,11/24/2016
Shane Simkins,Department B,$52.83,25,2 Carioca Hill,Amarillo,Texas,cd52b65340cad77d9405be2bf2d2b5d8,12/7/2016
Linn Becerra,Department B,$64.31,33,53444 Northridge Terrace,Sioux City,Iowa,e2009200912ed08efe041fe6a183eb7c,7/17/2016
Zebedee Kedge,Department A,$9.53,93,38 Warner Terrace,Santa Barbara,California,798a26cea4a85dd543dea084a85764ed,10/5/2016
Celestyna Erskine,Department C,$34.65,81,45 Almo Crossing,New Orleans,Louisiana,a06705edd6d80e948628d78139b04177,7/22/2016
,,,83,6 Caliangt Way,Spartanburg,South Carolina,688de3d8e6325a57b55fe20aa025db09,3/8/2016
Zebedee Kedge,Department A,$81.07,25,39047 American Ash Road,Greensboro,North Carolina,73f943f839876bdaf1c7f79bc41b8cf0,2/22/2017
Jacquette Oakley,Department C,$61.08,66,5104 Ilene Way,Dallas,Texas,7540f23397563deb1a85796b00629440,8/6/2016
,,,24,34 Lakeland Drive,Philadelphia,Pennsylvania,f7c7e6a3cd30d468fb5ef49d7caa6d1d,10/8/2016
Linn Becerra,Department B,$51.80,36,716 Hanson Terrace,Tucson,Arizona,5b2bf4fd77e6c06d5bbd2ffd3690cc48,2/19/2016
Gothart Whimpenny,Department C,$1.52,63,48288 Michigan Crossing,San Diego,California,88a89b73f918a2b9a55e2253a50e5397,8/31/2016
Chad Yeatman,Department A,$37.91,52,2064 Crowley Center,Saint Cloud,Minnesota,22fe2b03a76c3ac61f558b34ceb4a9a0,8/12/2016
Celestyna Erskine,Department C,$36.22,96,62 Arrowood Junction,New York City,New York,ef1fdec9977bfd8bb89cd7009f9629c8,3/23/2016
Atlante Harower,Department D,$15.39,22,21 Mesta Circle,Las Vegas,Nevada,18a3fac3c406b75a336fbdf1b4354aaf,1/14/2017
Dallas Le,Department B,$74.35,55,455 Packers Street,Atlanta,Georgia,5569c33c3a16c756f6a428dda7f87503,8/8/2017
Shena Reeson,Department B,$15.96,34,3 Crowley Court,Lake Charles,Louisiana,72a6926f506cdb6050ddf5918011f0a6,11/20/2016
Celestyna Erskine,Department C,$25.72,70,70 Annamark Terrace,Denver,Colorado,fb229e13d5a36cf90a603e62cc338e4d,3/25/2017
Nell Lindup,Department C,$15.42,96,3 Arizona Avenue,Louisville,Kentucky,fd99f74b7eec0c1e1aa42fb93e2e4321,12/27/2016
Ignacio Arpur,Department A,$47.61,11,90 John Wall Street,Arlington,Virginia,3889a3263254984756e3663019a811f2,5/29/2016
Nell Lindup,Department C,$31.94,58,6783 Killdeer Trail,Wichita,Kansas,ab60fdf305fcaeb725613011a955c4cf,5/29/2016
Ashleigh Baudinot,Department D,$18.63,59,975 Artisan Crossing,Memphis,Tennessee,31e8439640a2708e71df9bfc67e0f75c,6/2/2016
Dallas Le,Department B,$77.82,10,51289 Ludington Street,Springfield,Missouri,baaf79c020c534d9192a8c22f8df7379,1/31/2016
Chad Yeatman,Department A,$27.31,59,9 Marcy Avenue,Lincoln,Nebraska,469e68dc1e25327991e3a1cfeac865b7,12/3/2016
Zaneta Delmage,Department B,$73.33,76,787 Oriole Plaza,Chicago,Illinois,9d8a5325ed07b7314a6d80c9d741bc82,7/19/2017
Zebedee Kedge,Department A,$7.36,72,3 Cascade Terrace,Omaha,Nebraska,7cb5b022835d48d43d420be1965808b7,8/23/2016
Ignacio Arpur,Department A,$92.46,75,380 Artisan Crossing,Cincinnati,Ohio,9d6f2ac022e35dcfc06ac63e1637a8d7,10/21/2016
Ortensia Le,Department C,$5.42,38,114 Kipling Terrace,Lexington,Kentucky,7793bcc42e5c13d2ed676274e7410be2,11/2/2016
Krystle Boothe,Department D,$59.89,49,122 Dahle Way,Saint Louis,Missouri,bc3e7fec73b4d7099f01155eb995356b,7/8/2017
Dallas Le,Department B,$9.37,76,50142 Mccormick Trail,Pittsburgh,Pennsylvania,f524976fd9b89bf51596b2b2e8d7427c,5/26/2017
Shena Reeson,Department B,$63.10,56,8 Stone Corner Drive,Midland,Michigan,303cce89d4d2e336bf1ab8152aac6d35,9/21/2016
Zebedee Kedge,Department A,$96.60,88,70521 Mitchell Circle,New Orleans,Louisiana,5ec546a95d121c675594076fd7a20d03,2/18/2016
Chad Yeatman,Department A,$33.36,24,7 Autumn Leaf Avenue,Amarillo,Texas,de4377913a92bc00b20b8eca56bfbde1,8/8/2017
Shena Reeson,Department B,$33.39,37,46866 Anthes Road,Austin,Texas,35ad85319b164d11d866a5618b2bb5d0,2/15/2017
Linn Becerra,Department B,$26.82,16,96 Moland Junction,Phoenix,Arizona,b4fec6935b3e3206333ee8a319749deb,4/20/2016
Gothart Whimpenny,Department C,$76.75,86,9 Michigan Lane,Charleston,South Carolina,4e4c2e2f50f9882d1c40ce9660895068,7/14/2017
Ashleigh Baudinot,Department D,$94.17,57,0344 Fulton Point,Milwaukee,Wisconsin,a443c3ecbf5e237a933950467c7c3ffc,2/4/2016
Brear Fairs,Department D,$15.63,65,006 Eliot Crossing,Memphis,Tennessee,6f1d8d53e70818dc4ad75e8e1343a8bd,7/27/2017
Zebedee Kedge,Department A,$44.76,53,5 Warner Pass,Houston,Texas,51b734604d034306869882035029bb62,2/21/2017
Chad Yeatman,Department A,$53.23,25,5 Nova Trail,Indianapolis,Indiana,f727c782db7c45ab9c7caf3814956320,7/10/2017
Modesty Berringer,Department D,$22.19,32,2 Loeprich Lane,Naples,Florida,949bb3d81cce79f9cda32f88a212f960,1/22/2017
Ignacio Arpur,Department A,$11.50,88,48146 Tennessee Point,Chicago,Illinois,0bbe96c53f87070a373070058ee7e06f,8/4/2016
Ortensia Le,Department C,$1.23,46,35473 Lukken Hill,Cincinnati,Ohio,67a1d4e781dd3d00ee9812e3e74da642,2/5/2017
Powell Amorts,Department B,$0.79,5,11761 Sauthoff Point,San Antonio,Texas,8eca3f9073a76b6cbb931643694e4f34,10/4/2016
Ignacio Arpur,Department A,$62.21,46,91 Swallow Way,Edmond,Oklahoma,91a9080a33ecb2bd242c9e4eadc05f06,1/9/2016
Gothart Whimpenny,Department C,$67.83,11,28630 Harbort Alley,Las Vegas,Nevada,379bdd8cb36dfd5ae87aa9cfc7c1cabd,3/22/2016
Ashleigh Baudinot,Department D,$22.88,10,53 Northridge Lane,Pittsburgh,Pennsylvania,f306d87fa8b5269f3b18b6e17838e67c,2/20/2016
Bartholemy Kment,Department B,$75.93,17,717 Muir Street,Mesa,Arizona,60be1d666c21197c40d0779672ef1c31,6/11/2016
Rutherford Kermath,Department D,$6.74,96,50508 Saint Paul Road,Orlando,Florida,76ecb1d1b0566d7cfb4d6db54716ab47,5/12/2016
,,,62,90627 Straubel Circle,Tuscaloosa,Alabama,5224201a3bd036bbf50218194fef7cd3,8/8/2016
Chad Yeatman,Department A,$76.15,13,43713 Stuart Circle,Waco,Texas,31a52512c208cd9ecb0eb1c8a965af47,3/5/2017
Zaneta Delmage,Department B,$32.13,66,63 Sutherland Center,Fullerton,California,5bde06556e5a4a696b364d5033ece3b5,5/21/2016
Zebedee Kedge,Department A,$49.39,43,18743 Golf View Terrace,Richmond,Virginia,31fb7cb8404e684e22ed22a8c61547fa,9/28/2016
Powell Amorts,Department B,$50.85,1,69576 Blaine Park,San Jose,California,b83c2245fcaa0f948a321165ad87991e,10/3/2016
Chad Yeatman,Department A,$67.96,7,0289 Killdeer Junction,Sacramento,California,6f4583cc346b5c189ea9572c89f8f44c,9/18/2016
Powell Amorts,Department B,$92.81,40,6110 Pepper Wood Way,Macon,Georgia,5096c7c0396e72564af369887ff8b58e,4/9/2017
Chad Yeatman,Department A,$24.10,45,99575 Lillian Crossing,Evansville,Indiana,0c2d87a97e750dc7f26ac8d640c00848,9/19/2016
Dallas Le,Department B,$2.73,85,523 Maple Terrace,Atlanta,Georgia,03fc0d2cff1686ba9df462baa651f3f7,9/16/2016
Ignacio Arpur,Department A,$71.98,22,0479 Lighthouse Bay Hill,Canton,Ohio,802cf8ef76540b03d62d21ee5baea8fc,2/11/2016
Shena Reeson,Department B,$7.52,47,1 Harbort Plaza,Washington,District of Columbia,20289d3f67f6075c4559ac230616ae53,5/11/2017
Atlante Harower,Department D,$74.15,40,27 Dottie Point,Miami,Florida,d158d53207f866cd341d8b13b24251cb,4/14/2017
Linn Becerra,Department B,$87.61,15,9 Burning Wood Junction,Peoria,Illinois,75f3035449ca14a991314b1f9e48083f,1/13/2017
Rutherford Kermath,Department D,$36.30,23,22450 Claremont Street,Rochester,Minnesota,d8ea84a60b726aea849ac0fcb9b2d8d8,8/20/2016
Nell Lindup,Department C,$77.20,30,1 Sundown Avenue,Saint Louis,Missouri,a6a92fd629d734ae0d5a13b702ccf0af,6/16/2016
Ashleigh Baudinot,Department D,$76.45,18,3 8th Circle,Knoxville,Tennessee,a56469f5638722391c7176c0fa50fcd6,3/3/2016
Celestyna Erskine,Department C,$22.65,62,8999 Gulseth Point,Newark,Delaware,36b2253f51d0c8a51ecc77f452b88a99,3/27/2016
